date,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,precipitation_hours,wind_speed_10m_max,wind_gusts_10m_max,wind_direction_10m_dominant,shortwave_radiation_sum,et0_fao_evapotranspiration,relative_humidity_2m_mean,surface_pressure_mean,cloud_cover_mean,dew_point_2m_mean
1990-01-01,26.8,18.3,21.7,1.4,4.0,11.0,23.0,97,16.28,3.35,77.41666666666667,912.8041666666667,44.875,17.229166666666668
1990-01-02,26.8,18.3,21.7,0.0,0.0,15.8,29.5,103,17.63,4.0,71.54166666666667,912.9250000000001,52.291666666666664,15.695833333333333
1990-01-03,26.0,16.2,20.4,0.0,0.0,15.9,36.4,102,20.52,4.36,70.79166666666667,913.9333333333334,27.625,14.120833333333332
1990-01-04,26.2,15.6,20.1,0.0,0.0,18.5,41.0,84,20.21,4.41,69.79166666666667,915.1166666666667,42.0,13.629166666666668
1990-01-05,25.7,13.3,19.2,0.0,0.0,21.6,46.1,68,20.48,4.73,63.375,915.1416666666668,55.416666666666664,10.716666666666667
1990-01-06,21.5,15.9,18.4,1.4,3.0,22.7,44.6,60,10.01,2.86,66.33333333333333,914.85,97.04166666666667,11.8375
1990-01-07,19.9,16.5,18.1,1.4,7.0,20.6,40.0,67,3.76,1.49,78.875,914.3625000000001,93.33333333333333,14.258333333333333
1990-01-08,22.8,16.4,18.4,0.0,0.0,18.0,40.0,77,6.96,1.95,76.66666666666667,915.3708333333334,89.33333333333333,14.075000000000001
1990-01-09,26.0,15.1,19.7,0.0,0.0,15.2,34.2,95,20.55,4.31,68.33333333333333,914.9458333333333,26.458333333333332,13.15
1990-01-10,27.1,13.6,20.0,0.0,0.0,12.0,28.8,94,21.63,4.76,60.291666666666664,914.5791666666668,3.25,10.25
1990-01-11,27.3,13.7,20.6,0.0,0.0,14.3,33.8,62,21.48,4.67,63.25,914.6,9.625,12.204166666666666
1990-01-12,26.9,13.6,19.7,0.0,0.0,16.3,37.4,81,22.82,5.21,51.916666666666664,914.1125000000001,10.291666666666666,7.191666666666666
1990-01-13,27.1,11.3,19.0,0.0,0.0,13.5,31.3,82,22.92,5.15,45.583333333333336,913.0833333333334,40.375,4.816666666666666
1990-01-14,28.1,12.8,20.1,0.0,0.0,10.5,26.6,77,23.0,5.25,39.375,912.7333333333332,66.875,3.733333333333333
1990-01-15,28.5,13.1,20.2,0.0,0.0,13.7,32.4,57,22.92,5.46,38.125,913.1208333333334,60.875,3.5124999999999997
1990-01-16,28.6,11.6,20.1,0.0,0.0,16.5,37.1,71,22.95,5.56,45.166666666666664,912.8958333333334,15.333333333333334,5.708333333333333
1990-01-17,28.0,12.3,19.9,0.0,0.0,11.6,29.5,97,22.44,5.24,46.0,912.4375,63.125,5.7375
1990-01-18,28.7,11.4,20.0,0.0,0.0,11.4,28.4,90,23.13,5.3,47.333333333333336,913.1583333333333,34.458333333333336,5.8625
1990-01-19,29.1,11.5,20.3,0.0,0.0,16.1,36.7,72,23.17,5.64,43.666666666666664,913.4916666666667,26.208333333333332,4.8125
1990-01-20,29.1,13.7,21.0,0.0,0.0,11.7,29.5,55,23.23,5.52,38.041666666666664,913.4041666666667,23.0,4.458333333333333
1990-01-21,29.5,12.6,20.9,0.0,0.0,12.4,30.6,66,23.42,5.65,35.625,912.2875,73.125,2.970833333333333
1990-01-22,28.8,13.1,21.0,0.0,0.0,15.6,36.4,85,23.12,5.74,41.541666666666664,912.5791666666668,4.125,6.091666666666666
1990-01-23,27.9,13.2,20.4,0.0,0.0,17.9,40.0,86,23.32,5.68,47.666666666666664,914.0416666666666,13.541666666666666,6.820833333333333
1990-01-24,28.2,11.4,20.0,0.0,0.0,12.7,29.2,93,23.66,5.44,47.208333333333336,914.1708333333332,0.0,5.654166666666666
1990-01-25,28.9,12.3,20.7,0.0,0.0,12.2,30.2,93,23.78,5.51,46.625,914.6208333333334,0.0,5.4875
1990-01-26,28.9,12.5,21.0,0.0,0.0,10.8,28.1,85,23.32,5.32,48.375,914.6583333333333,0.0,8.1875
1990-01-27,28.4,12.7,20.7,0.0,0.0,15.6,36.0,86,23.47,5.53,50.708333333333336,913.7541666666666,0.0,8.129166666666666
1990-01-28,28.7,11.8,20.1,0.0,0.0,15.4,35.6,87,24.22,5.77,46.75,913.15,0.0,5.229166666666667
1990-01-29,28.0,11.3,19.7,0.0,0.0,14.8,34.6,93,24.12,5.43,54.0,913.7791666666667,0.2916666666666667,8.220833333333333
1990-01-30,29.1,11.5,20.3,0.0,0.0,12.4,28.8,91,24.11,5.43,52.333333333333336,914.1958333333333,25.916666666666668,7.654166666666666
1990-01-31,29.8,11.7,20.9,0.0,0.0,12.3,27.7,86,24.2,5.71,46.125,914.4958333333334,65.79166666666667,5.254166666666666
1990-02-01,29.9,12.6,21.3,0.0,0.0,13.0,31.3,85,24.48,6.11,31.875,913.7708333333334,26.875,1.3791666666666664
1990-02-02,30.1,12.6,21.4,0.0,0.0,11.9,26.3,92,24.29,5.84,41.125,913.8166666666666,38.0,5.033333333333333
1990-02-03,29.6,12.9,21.0,0.0,0.0,13.3,32.8,94,24.62,6.02,42.75,915.0041666666666,5.791666666666667,4.3875
1990-02-04,29.5,12.4,20.9,0.0,0.0,13.8,32.4,88,24.76,6.02,40.166666666666664,914.4041666666667,1.625,3.1999999999999997
1990-02-05,30.5,12.2,21.6,0.0,0.0,13.4,28.8,84,24.8,6.15,34.416666666666664,913.275,0.5,1.9541666666666668
1990-02-06,29.4,15.3,21.8,0.0,0.0,20.3,44.3,94,24.48,6.77,36.041666666666664,914.3916666666668,7.125,4.145833333333333
1990-02-07,27.3,12.3,19.9,0.0,0.0,16.2,37.1,95,24.59,5.55,55.416666666666664,915.7208333333333,4.583333333333333,9.174999999999999
1990-02-08,27.2,14.8,20.8,0.0,0.0,18.1,37.1,108,21.06,4.68,68.95833333333333,915.3541666666666,29.041666666666668,14.079166666666666
1990-02-09,28.6,15.5,21.9,0.0,0.0,18.5,36.0,111,23.45,5.49,63.125,914.2375000000001,9.291666666666666,13.208333333333334
1990-02-10,28.3,17.0,22.0,0.0,0.0,18.3,38.9,118,20.56,4.93,67.41666666666667,914.8041666666667,34.416666666666664,14.700000000000001
1990-02-11,28.7,16.4,21.8,0.0,0.0,18.4,41.0,106,21.54,5.13,65.95833333333333,916.0124999999999,29.125,14.129166666666668
1990-02-12,29.1,15.8,22.2,0.0,0.0,15.8,34.9,104,23.98,5.65,60.666666666666664,915.875,5.541666666666667,12.854166666666666
1990-02-13,29.4,16.4,22.4,0.0,0.0,14.0,28.8,116,24.11,5.28,57.333333333333336,914.9,16.333333333333332,11.741666666666667
1990-02-14,30.0,18.2,23.6,0.0,0.0,14.5,27.4,127,22.8,4.67,60.125,913.5291666666667,37.375,13.975
1990-02-15,30.6,18.3,24.5,0.0,0.0,16.3,30.6,207,22.5,5.17,57.416666666666664,912.3125,47.958333333333336,14.470833333333333
1990-02-16,29.7,18.3,24.5,0.0,0.0,9.7,24.1,249,20.51,4.79,53.458333333333336,911.9291666666667,43.541666666666664,13.475
1990-02-17,31.3,18.3,24.8,0.0,0.0,11.2,27.7,279,24.64,5.85,46.125,911.8125,4.875,10.424999999999999
1990-02-18,31.0,18.0,24.2,0.0,0.0,9.0,25.9,311,24.31,5.54,45.875,911.1750000000001,43.5,10.054166666666667
1990-02-19,31.1,17.7,24.5,0.0,0.0,13.2,28.8,263,24.23,5.7,37.375,911.4083333333333,17.833333333333332,7.9624999999999995
1990-02-20,30.8,17.3,24.2,0.0,0.0,16.8,36.7,246,25.08,6.36,44.083333333333336,911.8166666666666,36.166666666666664,9.558333333333334
1990-02-21,30.6,16.2,23.5,0.0,0.0,15.7,36.7,261,25.28,6.22,42.666666666666664,911.0166666666668,1.4583333333333333,8.354166666666666
1990-02-22,31.3,16.6,23.9,0.0,0.0,13.6,32.4,258,25.29,6.23,37.958333333333336,910.25,12.0,7.1125
1990-02-23,31.4,16.0,23.9,0.0,0.0,10.7,26.3,236,25.23,5.95,39.208333333333336,908.9333333333334,11.041666666666666,8.15
1990-02-24,31.0,16.4,24.3,0.0,0.0,11.6,30.6,230,24.57,5.8,44.5,910.0708333333333,20.541666666666668,10.450000000000001
1990-02-25,31.0,17.7,24.6,0.0,0.0,10.5,25.6,258,24.44,5.55,43.916666666666664,911.1791666666667,74.20833333333333,10.454166666666667
1990-02-26,31.8,18.4,25.6,0.0,0.0,9.1,24.1,323,24.75,5.76,39.708333333333336,911.4791666666666,90.29166666666667,9.720833333333333
1990-02-27,32.6,17.4,25.3,0.0,0.0,8.2,20.2,2,25.78,5.5,34.833333333333336,911.2791666666667,17.958333333333332,7.095833333333334
1990-02-28,31.8,18.4,25.5,0.0,0.0,10.9,27.4,160,23.05,5.13,48.916666666666664,912.9291666666667,32.875,12.775
1990-03-01,31.7,21.0,26.5,0.0,0.0,10.4,22.7,163,22.1,5.18,51.125,913.2291666666666,34.958333333333336,14.8375
1990-03-02,31.2,21.7,26.5,0.0,0.0,12.4,29.5,183,19.95,5.25,52.75,911.1625,47.041666666666664,15.579166666666666
1990-03-03,31.3,21.3,26.2,0.2,2.0,15.5,36.7,228,22.72,5.73,52.708333333333336,910.8958333333334,45.458333333333336,15.0375
1990-03-04,28.8,20.7,24.1,0.8,4.0,11.7,31.7,237,16.11,3.98,63.041666666666664,911.775,56.833333333333336,16.283333333333335
1990-03-05,31.5,18.9,25.2,0.0,0.0,11.8,22.3,190,24.67,5.51,58.583333333333336,911.4583333333334,13.75,15.0375
1990-03-06,31.2,19.3,25.5,0.1,1.0,8.9,24.5,192,22.75,5.34,54.208333333333336,912.7833333333333,31.041666666666668,14.5375
1990-03-07,30.4,20.7,25.5,0.0,0.0,8.0,24.1,252,22.19,5.06,54.0,915.0958333333333,40.708333333333336,14.966666666666667
1990-03-08,31.7,20.1,25.8,0.0,0.0,11.5,29.2,298,22.8,5.59,43.375,914.9708333333333,29.833333333333332,11.15
1990-03-09,31.8,19.1,25.5,0.0,0.0,14.6,28.4,263,25.52,5.81,44.25,914.2333333333332,23.916666666666668,11.308333333333332
1990-03-10,28.0,19.8,22.5,7.6,10.0,17.1,31.3,158,18.23,3.77,79.66666666666667,914.6750000000001,80.54166666666667,18.6125
1990-03-11,27.9,19.2,22.7,0.0,0.0,12.1,22.7,145,18.93,3.92,75.20833333333333,915.1916666666666,49.208333333333336,17.525
1990-03-12,28.7,19.3,23.1,0.6,4.0,12.7,24.1,129,20.38,4.28,75.25,914.3958333333334,37.458333333333336,17.966666666666665
1990-03-13,29.0,19.1,23.9,0.2,2.0,11.0,21.2,169,20.78,4.42,68.33333333333333,914.0041666666666,31.958333333333332,17.05
1990-03-14,31.7,19.7,25.6,0.0,0.0,8.9,27.0,279,23.98,5.49,55.375,914.2958333333332,28.541666666666668,14.299999999999999
1990-03-15,32.8,18.9,25.9,0.0,0.0,13.2,25.6,76,25.44,5.99,52.291666666666664,914.3000000000001,21.666666666666668,13.483333333333334
