date,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,precipitation_hours,wind_speed_10m_max,wind_gusts_10m_max,wind_direction_10m_dominant,shortwave_radiation_sum,et0_fao_evapotranspiration,relative_humidity_2m_mean,surface_pressure_mean,cloud_cover_mean,dew_point_2m_mean
1990-01-01,30.3,18.1,23.1,0.0,0.0,12.8,31.7,270,18.3,4.27,57.375,949.8000000000001,0.5416666666666666,13.154166666666667
1990-01-02,29.8,17.0,22.4,0.0,0.0,10.1,25.9,314,18.76,4.21,53.666666666666664,949.4458333333333,19.291666666666668,11.479166666666666
1990-01-03,29.7,15.9,22.9,0.0,0.0,13.0,31.3,116,17.61,4.03,57.875,950.4375,33.375,13.433333333333332
1990-01-04,29.5,17.9,23.4,0.2,1.0,11.5,29.5,109,15.74,3.6,61.083333333333336,952.3083333333334,40.458333333333336,14.829166666666666
1990-01-05,29.4,18.0,23.8,0.0,0.0,10.1,28.1,87,15.96,3.97,54.0,953.3375,29.666666666666668,13.058333333333332
1990-01-06,29.3,16.6,23.1,0.0,0.0,11.9,31.0,83,17.28,4.09,53.833333333333336,953.3916666666668,16.708333333333332,12.450000000000001
1990-01-07,29.9,16.0,23.0,0.0,0.0,17.3,41.4,98,19.11,5.04,46.458333333333336,953.0,1.875,9.545833333333333
1990-01-08,29.4,15.3,22.3,0.0,0.0,19.9,46.1,98,18.73,5.11,42.791666666666664,953.3833333333333,5.5,7.941666666666666
1990-01-09,29.3,16.1,22.9,0.0,0.0,17.6,41.8,94,16.07,4.36,46.291666666666664,952.8249999999999,22.041666666666668,9.866666666666667
1990-01-10,30.0,17.2,23.7,0.0,0.0,13.7,33.8,88,19.11,4.42,42.0,952.4499999999999,6.416666666666667,9.320833333333333
1990-01-11,30.1,17.3,23.2,0.0,0.0,12.0,30.2,81,19.59,4.71,44.625,952.7041666666668,0.0,9.566666666666666
1990-01-12,30.4,16.6,23.0,0.0,0.0,13.1,33.8,93,20.04,5.22,36.125,952.4,0.0,5.8875
1990-01-13,30.7,17.8,23.4,0.0,0.0,9.0,25.2,81,20.15,4.73,31.208333333333332,951.5749999999999,0.0,4.433333333333334
1990-01-14,31.1,16.9,23.3,0.0,0.0,9.4,22.7,356,20.1,4.39,37.0,950.7166666666667,0.0,6.429166666666667
1990-01-15,31.1,18.4,23.6,0.0,0.0,10.2,23.8,18,20.24,4.69,33.208333333333336,951.5708333333333,0.0,5.520833333333333
1990-01-16,31.1,17.9,23.5,0.0,0.0,11.2,29.2,69,20.46,5.08,27.833333333333332,951.125,1.125,3.1291666666666664
1990-01-17,30.4,16.5,23.0,0.0,0.0,11.1,28.8,88,20.37,4.71,33.791666666666664,950.3916666666668,0.041666666666666664,5.483333333333333
1990-01-18,31.1,18.0,23.6,0.0,0.0,9.4,24.8,51,20.4,4.77,35.5,951.2541666666666,0.4166666666666667,6.575
1990-01-19,31.5,18.4,23.9,0.0,0.0,13.4,33.8,67,20.62,5.41,34.875,951.975,1.2916666666666667,6.079166666666667
1990-01-20,31.4,18.0,24.2,0.0,0.0,12.6,32.0,76,20.97,5.46,26.208333333333332,952.1291666666666,0.0,2.4250000000000003
1990-01-21,31.1,18.9,24.1,0.0,0.0,12.6,32.4,80,20.98,5.48,26.416666666666668,951.0041666666666,0.0,3.0666666666666664
1990-01-22,31.2,18.1,23.7,0.0,0.0,15.1,37.4,85,20.79,5.64,34.416666666666664,951.0041666666666,0.0,6.420833333333333
